label,controller,delay_frames,ego_speed_kmh,mu,trigger_d,dart_speed_kmh,avoided,collision_with,s_clearance,a_b_mfdd,t_c_warn,dv_speed_var,collision_speed_kmh,peak_decel,brake_distance,min_dist,a_req_at_brake,a_max,is_conflict,result_txt
proposed,proposed,0,40.0,0.85,30.0,20.0,True,,0.7296843913079281,7.866816028342706,1.0491368030451966,40.0,0.0,8.338500000000018,11.355693817138672,4.403767487520606,5.008331380756813,8.3385,True,AVOIDED
proposed,proposed,0,40.0,0.85,35.0,20.0,True,,1.5823564393882137,4.037112762822045,1.5394874871753652,40.0,0.0,8.3385,16.023054122924805,5.256443362897178,3.448934301588219,8.3385,True,AVOIDED
proposed,proposed,0,40.0,0.4,20.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.2511492783422866,33.11641316747347,6.883586832526531,3.924000000000003,0.0,3.8189191614525546,3.961490876976411,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,40.0,0.4,25.0,20.0,True,,0.6557970973251885,4.102150845555789,1.68432575562793,40.0,0.0,3.924000000000003,18.607168197631836,4.3299641728384275,2.9667046316700834,3.9240000000000004,True,AVOIDED
proposed,proposed,0,40.0,0.4,30.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.0491368030451966,30.791201741031593,9.20879825896841,3.924000000000003,0.0,3.8314663641137,5.008331380756813,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,40.0,0.4,35.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.5394874871753652,35.920377800691774,4.079622199308225,3.924000000000003,0.0,3.8151437312198557,3.448934301588219,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,50.0,0.85,20.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.0283507624270962,40.21925492040715,9.780745079592844,8.3385,0.0,3.821803534183559,6.251445427884491,8.3385,True,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,50.0,0.85,25.0,20.0,True,,0.25844992026364544,6.805111960610857,1.3761703297458985,50.0,0.0,8.338500000000018,18.85797691345215,3.932616992230024,4.67326940838413,8.3385,True,AVOIDED
proposed,proposed,0,50.0,0.85,30.0,20.0,True,,0.9371726112655354,5.192653004512637,1.5915557582378868,50.0,0.0,8.338500000000018,21.630722045898438,4.611259613541595,4.0496133296805565,8.3385,True,AVOIDED
proposed,proposed,0,50.0,0.85,35.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.0049640659373305,41.66213717885746,8.337862821142533,8.338500000000018,0.0,3.819370655569132,6.639201261619354,8.3385,True,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,50.0,0.4,20.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.0283507624270962,30.746068476133473,19.253931523866527,3.9239999999999853,0.0,3.9369491502098666,6.251445427884491,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,50.0,0.4,25.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.3761703297458985,38.60154928810512,11.398450711894881,3.924000000000003,0.0,3.835964398498518,4.67326940838413,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,50.0,0.4,30.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.6941838432089535,40.26513757405592,9.734862425944081,3.924000000000003,0.0,3.8358974193956326,3.810183359053096,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,50.0,0.4,35.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.867194488192899,41.2336989094176,8.766301090582404,3.924000000000003,0.0,3.824272967015029,3.4750850219837917,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,60.0,0.85,20.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.8715222210920067,39.745355904858265,20.254644095141735,8.3385,0.0,4.090407565210569,9.086393451542861,8.3385,True,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,60.0,0.85,25.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.1321023594448238,49.762324418348584,10.23767558165142,8.3385,0.0,3.8275239741220806,6.9582527156196,8.3385,True,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,60.0,0.85,30.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.450181401363242,51.995715916305194,8.004284083694804,8.3385,0.0,3.830084185564274,5.434061926855033,8.3385,True,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,60.0,0.85,35.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.5804397157617378,53.002357827449174,6.997642172550825,8.3385,0.0,3.821282385916836,4.996850708416284,8.3385,True,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,60.0,0.4,20.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.8715222210920067,23.376150649725737,36.62384935027426,3.924000000000021,0.0,4.3061964088081135,9.086393451542861,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,60.0,0.4,25.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.1321023594448238,38.97776707012635,21.022232929873656,3.924000000000021,0.0,3.8362488572671705,6.9582527156196,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,60.0,0.4,30.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.450181401363242,43.53443631547239,16.465563684527606,3.924000000000021,0.0,3.8265009718336325,5.434061926855033,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,60.0,0.4,35.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.7309784479218406,45.034138462820856,14.965861537179142,3.924000000000003,0.0,3.8409592054484567,4.564096871698413,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
proposed_enhanced,proposed_enhanced,0,30.0,0.85,20.0,20.0,True,,0.44778845299124637,0.0,0.5367279891814162,30.0,0.0,8.3385,4.346397399902344,4.122085022218482,6.918478840599012,8.3385,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,30.0,0.85,25.0,20.0,True,,0.3702462741230823,9.063808936728469,0.7784635386846538,30.0,0.0,8.3385,6.079704284667969,4.044443867631996,5.305284457571184,8.3385,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,30.0,0.85,30.0,20.0,True,,0.3699232719256562,9.062061467275186,0.7792487672891447,30.0,0.0,8.3385,6.080097198486328,4.044067435680054,5.305347869072875,8.3385,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,30.0,0.85,35.0,20.0,True,,0.37025006969740293,9.063808936728469,0.7784639980820746,30.0,0.0,8.3385,6.079704284667969,4.044447663205551,5.305281323157405,8.3385,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,30.0,0.4,20.0,20.0,True,,0.3715627623167519,4.200696355670288,1.4351668111113582,30.0,0.0,3.924000000000003,12.284442901611328,4.045866949614573,2.4337404058639063,3.9240000000000004,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,30.0,0.4,25.0,20.0,True,,1.007427863607047,4.064004671791085,1.1535649608842213,30.0,0.0,3.924000000000003,9.165596008300781,4.68159487980193,3.3316057713605907,3.9240000000000004,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,30.0,0.4,30.0,20.0,True,,0.6357928535057873,3.5057601968077434,1.6745319319851621,30.0,0.0,3.924000000000003,13.67474365234375,4.310097040803608,2.387402356463033,3.9240000000000004,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,30.0,0.4,35.0,20.0,True,,0.6356342877879042,3.50557374243105,1.7308075634675884,30.0,0.0,3.924000000000003,13.675102233886719,4.309938475085725,2.3901259194849214,3.9240000000000004,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,40.0,0.85,20.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.1501102073874885,20.694892677663113,19.305107322336887,8.338499999999982,0.0,3.8819999398502856,33.28535665424344,8.3385,True,COLLISION with vehicle.ue4.audi.tt
proposed_enhanced,proposed_enhanced,0,40.0,0.85,25.0,20.0,False,vehicle.ue4.audi.tt,0.0,8.62440697473196,0.6149612830747088,39.399104871108065,0.6008951288919321,8.3385,0.0,3.8158108518826235,8.417455933979024,8.3385,True,COLLISION with vehicle.ue4.audi.tt
proposed_enhanced,proposed_enhanced,0,40.0,0.85,30.0,20.0,True,,0.4810580141458134,7.464815042622891,1.0491368030451966,40.0,0.0,8.3385,11.604576110839844,4.155362201443634,5.008331380756813,8.3385,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,40.0,0.85,35.0,20.0,True,,0.4823449403429292,7.464558147678174,1.0933288826888092,40.0,0.0,8.3385,11.604576110839844,4.15664912764075,5.042133668901332,8.3385,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,40.0,0.4,20.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.2511492783422866,33.11641316747347,6.883586832526531,3.924000000000003,0.0,3.8189191614525546,3.961490876976411,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
proposed_enhanced,proposed_enhanced,0,40.0,0.4,25.0,20.0,True,,0.9568739384593812,0.0,1.6825385577076486,40.0,0.0,3.924000000000003,18.30434226989746,4.631178125757202,2.9674486785125,3.9240000000000004,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,40.0,0.4,30.0,20.0,True,,1.0675929710899084,4.0020605614899205,2.0878773221931035,40.0,0.0,3.924000000000003,23.1610164642334,4.741897158387729,2.409837267523869,3.9240000000000004,True,AVOIDED
