label,controller,delay_frames,ego_speed_kmh,lead_speed_kmh,mu,headway_thw,headway_d,avoided,collision_with,s_clearance,a_b_mfdd,t_c_warn,dv_speed_var,collision_speed_kmh,peak_decel,brake_distance,min_dist,a_req_at_brake,a_max,is_conflict,result_txt
proposed,proposed,0,60.0,60.0,0.85,2.5,41.66666666666667,False,,0.0,0.0,1.5878978870973606,60.0,0.0,3.3354000497013203,0.0,16.25029754815325,6.002032820303024,8.3385,True,NO BRAKE / passed
proposed,proposed,0,60.0,60.0,0.4,2.5,41.66666666666667,False,,0.0,0.0,1.9657996293202769,60.0,0.0,3.9239999999999853,0.0,16.5469818127879,5.244704754638414,3.9240000000000004,True,NO BRAKE / passed
proposed_enhanced,proposed_enhanced,0,30.0,30.0,0.85,1.0,8.333333333333334,True,,0.3387184219646695,8.776374924336977,1.4913584999013962,30.0,0.0,8.3385,5.465799331665039,5.106561670259699,5.527246761241946,8.3385,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,30.0,30.0,0.4,1.0,8.333333333333334,False,vehicle.ue4.audi.tt,0.0,0.0,4.9528214313640655,24.014697579073776,5.985302420926226,3.924000000000003,0.0,4.906347285972629,3.0257385914018777,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
proposed_enhanced,proposed_enhanced,0,30.0,30.0,0.85,1.5,12.5,True,,0.38725104666590937,8.359689398119565,1.1946598123514136,30.0,0.0,8.3385,6.274269104003906,5.154848245557473,5.105013915470057,8.3385,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,30.0,30.0,0.4,1.5,12.5,True,,0.8767453695234302,4.0628730741844175,7.039928856539185,30.0,0.0,3.924000000000003,10.333917617797852,5.644460823953505,2.605715723502676,3.9240000000000004,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,30.0,30.0,0.85,2.0,16.666666666666668,True,,0.23279767067777346,7.780864668668057,0.8262377116512014,30.0,0.0,8.3385,6.460597991943359,5.000648546532266,5.108425233623513,8.3385,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,30.0,30.0,0.4,2.0,16.666666666666668,True,,0.6561069521477272,3.6239197408958055,5.406214663990653,30.0,0.0,3.924000000000003,13.482925415039062,5.423824313598004,2.354910280474239,3.9240000000000004,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,30.0,30.0,0.85,2.5,20.833333333333336,True,,0.2648029558516498,7.780869947502465,0.8127615046510833,30.0,0.0,8.3385,6.460596084594727,5.032653831706142,5.084197525527865,8.3385,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,30.0,30.0,0.4,2.5,20.833333333333336,True,,0.6881313327256509,3.623918595807379,2.4527353006508,30.0,0.0,3.924000000000003,13.482927322387695,5.455848694178474,2.4066832729938303,3.9240000000000004,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,40.0,40.0,0.85,1.0,11.11111111111111,True,,0.5030083500627951,8.773324390796875,2.692657534160436,40.0,0.0,8.338500000000018,10.836496353149414,5.270611272618607,5.06810458044935,8.3385,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,40.0,40.0,0.4,1.0,11.11111111111111,False,vehicle.ue4.audi.tt,0.0,0.0,8.431018850202848,32.405790887485395,7.594209112514604,3.924000000000003,0.0,4.905776983938589,2.9880569700825594,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
proposed_enhanced,proposed_enhanced,0,40.0,40.0,0.85,1.5,16.666666666666664,True,,0.5761935207546047,7.8698251675568525,1.8025247211739661,40.0,0.0,8.338500000000018,11.353862762451172,5.343777362315518,5.088887378132945,8.3385,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,40.0,40.0,0.4,1.5,16.666666666666664,True,,1.4904270212504018,4.102447160543259,10.767244843514392,40.0,0.0,3.924000000000003,17.061918258666992,6.258140567986307,2.772708082814638,3.9240000000000004,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,40.0,40.0,0.85,2.0,22.22222222222222,True,,0.6144828647136267,7.869828205186927,1.3226811405982255,40.0,0.0,8.338500000000018,11.353860855102539,5.382066703852514,5.07331159838516,8.3385,True,AVOIDED
