label,controller,delay_frames,ego_speed_kmh,lead_speed_kmh,mu,headway_thw,headway_d,avoided,collision_with,s_clearance,a_b_mfdd,t_c_warn,dv_speed_var,collision_speed_kmh,peak_decel,brake_distance,min_dist,a_req_at_brake,a_max,result_txt
proposed,proposed,0,50.0,50.0,0.85,2.0,27.77777777777778,False,vehicle.ue4.audi.tt,0.0,0.0,1.579975878070659,42.55446021272357,7.445539787276429,8.338500000000018,0.0,4.92046464662631,5.7241505534161385,8.3385,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,50.0,50.0,0.4,2.0,27.77777777777778,False,vehicle.ue4.audi.tt,0.0,0.0,1.8781434754226705,35.41293758340884,14.587062416591158,3.924000000000003,0.0,4.9294247443515244,5.092581276730313,3.9240000000000004,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,50.0,50.0,0.85,2.5,34.72222222222222,False,,0.0,0.0,1.5615380207214395,50.0,0.0,8.338499999999982,0.0,9.478215251733955,5.253031250672975,8.3385,NO BRAKE / passed
proposed,proposed,0,50.0,50.0,0.4,2.5,34.72222222222222,False,,0.0,0.0,1.8217445872656748,50.0,0.0,3.9239999999999853,0.0,9.142020478442115,4.721351521240114,3.9240000000000004,NO BRAKE / passed
proposed,proposed,0,60.0,60.0,0.85,1.0,16.666666666666668,False,vehicle.ue4.audi.tt,0.0,0.0,1.484588440316041,41.77257556201542,18.22742443798458,8.3385,0.0,4.927486422297996,7.129640561332657,8.3385,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,60.0,60.0,0.4,1.0,16.666666666666668,False,vehicle.ue4.audi.tt,0.0,0.0,1.8806852388531583,33.14801061303919,26.851989386960806,3.924000000000021,0.0,4.955070841273738,6.345773596001677,3.9240000000000004,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,60.0,60.0,0.85,1.5,25.0,False,,0.0,0.0,1.572722593402794,60.0,0.0,8.338499999999982,0.0,6.677750337565031,7.017557976464469,8.3385,NO BRAKE / passed
proposed,proposed,0,60.0,60.0,0.4,1.5,25.0,False,,0.0,0.0,1.889200197667345,60.0,0.0,3.9239999999999853,0.0,6.740917210930835,6.25089224990931,3.9240000000000004,NO BRAKE / passed
proposed,proposed,0,60.0,60.0,0.85,2.0,33.333333333333336,False,,0.0,0.0,1.5162834965719085,60.0,0.0,3.3354000497013203,0.0,14.614597322875683,6.958661529351978,8.3385,NO BRAKE / passed
proposed,proposed,0,60.0,60.0,0.4,2.0,33.333333333333336,False,,0.0,0.0,1.9795537198481061,60.0,0.0,3.9239999999999853,0.0,14.333931015342355,5.762223676929788,3.9240000000000004,NO BRAKE / passed
proposed,proposed,0,60.0,60.0,0.85,2.5,41.66666666666667,False,,0.0,0.0,1.5523920727186682,60.0,0.0,3.3354000497013203,0.0,23.007934573937327,6.391688745864886,8.3385,NO BRAKE / passed
proposed,proposed,0,60.0,60.0,0.4,2.5,41.66666666666667,False,,0.0,0.0,1.9768544874219607,60.0,0.0,3.9239999999999853,0.0,22.476154341355905,5.368533276534737,3.9240000000000004,NO BRAKE / passed
proposed_enhanced,proposed_enhanced,0,30.0,30.0,0.85,1.0,8.333333333333334,True,,0.2565021555762881,8.356929982439137,1.293362081989017,30.0,0.0,8.3385,6.275339126586914,5.024135593619776,5.171456433789686,8.3385,AVOIDED
proposed_enhanced,proposed_enhanced,0,30.0,30.0,0.4,1.0,8.333333333333334,False,vehicle.ue4.audi.tt,0.0,4.200622504360387,4.443376440184731,28.734481641412877,1.2655183585871241,3.924000000000003,0.0,4.8924160115581605,2.913940882494178,3.9240000000000004,COLLISION with vehicle.ue4.audi.tt
proposed_enhanced,proposed_enhanced,0,30.0,30.0,0.85,1.5,12.5,True,,0.28605095222186616,8.356929982439137,1.1082329891647105,30.0,0.0,8.3385,6.275339126586914,5.053678667997403,5.222039664593182,8.3385,AVOIDED
proposed_enhanced,proposed_enhanced,0,30.0,30.0,0.4,1.5,12.5,True,,0.6853828460438365,4.1085957807793605,7.409468051891196,30.0,0.0,3.924000000000003,12.079095840454102,5.453098300153423,2.396473626492614,3.9240000000000004,AVOIDED
proposed_enhanced,proposed_enhanced,0,30.0,30.0,0.85,2.0,16.666666666666668,True,,0.31793787585610467,8.356929982439137,0.9132354338311238,30.0,0.0,8.3385,6.27534294128418,5.085567499152436,5.170020680909497,8.3385,AVOIDED
proposed_enhanced,proposed_enhanced,0,30.0,30.0,0.4,2.0,16.666666666666668,True,,0.5888614675935377,3.4128589865634744,4.3803066037613245,30.0,0.0,3.924000000000003,13.86241340637207,5.35671234344803,2.361039674959991,3.9240000000000004,AVOIDED
proposed_enhanced,proposed_enhanced,0,30.0,30.0,0.85,2.5,20.833333333333336,True,,0.349950795480817,8.356929982439137,0.800700989401042,30.0,0.0,8.3385,6.275337219238281,5.117576604143905,5.161510357768154,8.3385,AVOIDED
proposed_enhanced,proposed_enhanced,0,30.0,30.0,0.4,2.5,20.833333333333336,True,,0.6208973014775472,3.412860002154463,2.6670685681575748,30.0,0.0,3.924000000000003,13.862411499023438,5.388748177332039,2.3614196277839237,3.9240000000000004,AVOIDED
proposed_enhanced,proposed_enhanced,0,40.0,40.0,0.85,1.0,11.11111111111111,True,,0.5719597970450465,7.869828205186927,1.8798596326129708,40.0,0.0,8.338500000000018,11.353860855102539,5.339532196548445,5.1266739574304925,8.3385,AVOIDED
proposed_enhanced,proposed_enhanced,0,40.0,40.0,0.4,1.0,11.11111111111111,True,,0.2331714777440661,4.0689366666449365,7.856201344764596,40.0,0.0,3.924000000000003,16.106050491333008,5.000991836057145,2.897439806185438,3.9240000000000004,AVOIDED
proposed_enhanced,proposed_enhanced,0,40.0,40.0,0.85,1.5,16.666666666666664,True,,0.6099902691679402,7.869828205186927,1.6231822899665143,40.0,0.0,8.3385,11.353858947753906,5.377574109794818,5.114825549765717,8.3385,AVOIDED
proposed_enhanced,proposed_enhanced,0,40.0,40.0,0.4,1.5,16.666666666666664,True,,1.5405712137893612,4.034804711356056,10.76221304696229,40.0,0.0,3.924000000000003,19.803823471069336,6.308422089643853,2.5476876752888655,3.9240000000000004,AVOIDED
proposed_enhanced,proposed_enhanced,0,40.0,40.0,0.85,2.0,22.22222222222222,True,,0.6484710256721673,7.86983428045411,1.3901511138319798,40.0,0.0,8.3385,11.353858947753906,5.416058678099714,5.073487426534374,8.3385,AVOIDED
proposed_enhanced,proposed_enhanced,0,40.0,40.0,0.4,2.0,22.22222222222222,True,,1.0449124510995587,3.6060161371171535,9.180604390970068,40.0,0.0,3.924000000000003,24.202224731445312,5.8126221830170675,2.370581463682005,3.9240000000000004,AVOIDED
proposed_enhanced,proposed_enhanced,0,40.0,40.0,0.85,2.5,27.77777777777778,True,,0.4387092909609249,7.468271178052576,1.1794173514402764,40.0,0.0,8.3385,11.602497100830078,5.206560166815417,5.050302357237906,8.3385,AVOIDED
proposed_enhanced,proposed_enhanced,0,40.0,40.0,0.4,2.5,27.77777777777778,True,,1.1209092061210901,3.445248019225714,5.033428076806086,40.0,0.0,3.924000000000003,24.71430015563965,5.888744823187735,2.365123854660689,3.9240000000000004,AVOIDED
proposed_enhanced,proposed_enhanced,0,50.0,50.0,0.85,1.0,13.88888888888889,True,,0.7514974353964625,7.556606817876815,2.449834081362569,50.0,0.0,8.338500000000018,17.930797576904297,5.519157576627929,5.180592097291679,8.3385,AVOIDED
proposed_enhanced,proposed_enhanced,0,50.0,50.0,0.4,1.0,13.88888888888889,True,,0.58805280574673,4.070323873677487,16.495275600775233,50.0,0.0,3.924000000000003,24.99378204345703,5.355903681601222,2.3856656289508438,3.9240000000000004,AVOIDED
proposed_enhanced,proposed_enhanced,0,50.0,50.0,0.85,1.5,20.833333333333336,True,,0.7952371165643815,7.556606817876815,2.133224044394999,50.0,0.0,8.3385,17.930801391601562,5.562912516465329,5.130191909261875,8.3385,AVOIDED
proposed_enhanced,proposed_enhanced,0,50.0,50.0,0.4,1.5,20.833333333333336,True,,2.5341070527190572,3.992376832696185,19.52379901955244,50.0,0.0,3.924000000000003,29.30221176147461,7.301816786816152,2.4435100852271026,3.9240000000000004,AVOIDED
proposed_enhanced,proposed_enhanced,0,50.0,50.0,0.85,2.0,27.77777777777778,True,,0.837824684020438,7.556610402705241,1.8792069563299698,50.0,0.0,8.338500000000018,17.930797576904297,5.605503898651643,5.092162231295839,8.3385,AVOIDED
proposed_enhanced,proposed_enhanced,0,50.0,50.0,0.4,2.0,27.77777777777778,True,,2.00060571392366,3.9669405753906735,16.61860499832433,50.0,0.0,3.924000000000003,35.40290641784668,6.768319264392416,2.4074662864869145,3.9240000000000004,AVOIDED
proposed_enhanced,proposed_enhanced,0,50.0,50.0,0.85,2.5,34.72222222222222,False,,0.0,0.0,1.645690041478068,50.0,0.0,8.3385,0.0,9.390202569749457,5.06215475973285,8.3385,NO BRAKE / passed
proposed_enhanced,proposed_enhanced,0,50.0,50.0,0.4,2.5,34.72222222222222,False,,0.0,0.0,9.654206635255163,50.0,0.0,3.924000000000003,0.0,9.449515854654582,2.3840638790749336,3.9240000000000004,NO BRAKE / passed
proposed_enhanced,proposed_enhanced,0,60.0,60.0,0.85,1.0,16.666666666666668,True,,1.145261769323315,7.395442202795602,3.1915883935314806,60.0,0.0,8.3385,26.002445220947266,5.912952427921636,5.171190101760084,8.3385,AVOIDED
proposed_enhanced,proposed_enhanced,0,60.0,60.0,0.4,1.0,16.666666666666668,False,vehicle.ue4.audi.tt,0.0,4.0000041852722354,20.38511826130065,56.325531201737824,3.6744687982621733,3.924000000000021,0.0,4.8993847063155105,2.473240294759358,3.9240000000000004,COLLISION with vehicle.ue4.audi.tt
proposed_enhanced,proposed_enhanced,0,60.0,60.0,0.85,1.5,25.0,False,,0.0,0.0,2.7268279555169337,60.0,0.0,8.3385,0.0,7.006462773466481,5.130854104140371,8.3385,NO BRAKE / passed
proposed_enhanced,proposed_enhanced,0,60.0,60.0,0.4,1.5,25.0,True,,4.229523645091184,4.00678674659418,23.820694470377752,60.0,0.0,3.924000000000003,38.70013618469238,8.997233376812165,2.594516367814562,3.9240000000000004,AVOIDED
proposed_enhanced,proposed_enhanced,0,60.0,60.0,0.85,2.0,33.333333333333336,False,,0.0,0.0,2.4267947285350475,60.0,0.0,8.338499999999982,0.0,14.878818514224093,5.068614619240832,8.3385,NO BRAKE / passed
proposed_enhanced,proposed_enhanced,0,60.0,60.0,0.4,2.0,33.333333333333336,False,,0.0,0.0,24.682460484664624,60.0,0.0,3.924000000000003,0.0,15.242134318349317,2.4593604528867123,3.9240000000000004,NO BRAKE / passed
proposed_enhanced,proposed_enhanced,0,60.0,60.0,0.85,2.5,41.66666666666667,False,,0.0,0.0,2.1689416970490223,60.0,0.0,3.3354000497013203,0.0,22.845539096897564,5.041028872657362,8.3385,NO BRAKE / passed
proposed_enhanced,proposed_enhanced,0,60.0,60.0,0.4,2.5,41.66666666666667,False,,0.0,0.0,18.52022564229666,60.0,0.0,3.9239999999999853,0.0,23.654407894118037,2.412159219636036,3.9240000000000004,NO BRAKE / passed
