label,controller,delay_frames,ego_speed_kmh,mu,trigger_d,dart_speed_kmh,avoided,collision_with,s_clearance,a_b_mfdd,t_c_warn,dv_speed_var,collision_speed_kmh,peak_decel,brake_distance,min_dist,a_req_at_brake,a_max,is_conflict,result_txt,noise_sigma_m,noise_sigma_vr,dropout_p,dropout_mode,test_mode,seed
baseline_nm0.0,baseline,0,60.0,0.4,25.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.1320381085174582,33.32959426012975,26.670405739870247,3.9239999999999853,0.0,3.8898161614413196,6.958661100171404,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,noise,12910046
baseline_nm0.0,baseline,0,60.0,0.4,30.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.450180316163522,36.89459013397051,23.105409866029493,3.9239999999999853,0.0,3.845574930724103,5.434038122471865,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,noise,12910047
baseline_nm0.0,baseline,0,60.0,0.4,35.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.5804284649540075,37.95967651334732,22.040323486652678,3.9239999999999853,0.0,3.8606193455659343,4.99687544150238,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,noise,12910048
baseline_nm0.0,baseline,0,60.0,0.4,40.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.9409212699222992,35.03905696244409,24.96094303755591,3.9239999999999853,0.0,3.813551119606775,8.583711381289632,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,noise,12910049
baseline_nm0.5,baseline,0,20.0,0.85,20.0,20.0,True,,3.920708948241658,0.0,1.339308921876678,20.0,0.0,3.335400049701338,4.358024597167969,7.594894924613713,1.8043776858454537,8.3385,True,AVOIDED,0.5,0.0,0.0,freeze,noise,12960000
baseline_nm0.5,baseline,0,20.0,0.85,25.0,20.0,True,,4.745803927019738,3.6574571698683926,1.6549263862015928,20.0,0.0,3.335400049701338,4.36077880859375,8.419986127934763,1.6625775880845157,8.3385,True,AVOIDED,0.5,0.0,0.0,freeze,noise,12960001
baseline_nm0.5,baseline,0,20.0,0.85,30.0,20.0,True,,4.47208142179837,3.6585807400389343,1.6012360783277277,20.0,0.0,3.335400049701338,4.358638763427734,8.14626357857813,1.7138428687062193,8.3385,True,AVOIDED,0.5,0.0,0.0,freeze,noise,12960002
baseline_nm0.5,baseline,0,20.0,0.85,35.0,20.0,True,,5.022665017178852,3.6583654231388554,1.70111732044131,20.0,0.0,3.335400049701338,4.358936309814453,8.696847144790997,1.6132508844125635,8.3385,True,AVOIDED,0.5,0.0,0.0,freeze,noise,12960003
baseline_nm0.5,baseline,0,20.0,0.85,40.0,20.0,True,,4.472081415227834,3.6585807400389343,1.6012360770147946,20.0,0.0,3.335400049701338,4.358638763427734,8.146263572007502,1.7138428695364663,8.3385,True,AVOIDED,0.5,0.0,0.0,freeze,noise,12960004
baseline_nm0.5,baseline,0,20.0,0.4,20.0,20.0,True,,1.1323572616462032,2.469274553713202,1.3386192833366588,20.0,0.0,3.924000000000003,7.149833679199219,4.806661448944024,1.8044232680391243,3.9240000000000004,True,AVOIDED,0.5,0.0,0.0,freeze,noise,12960005
baseline_nm0.5,baseline,0,20.0,0.4,25.0,20.0,True,,1.4049060195763996,2.0347306494077904,1.7012787876573134,20.0,0.0,3.924000000000003,7.978527069091797,5.0791454205561415,1.6131248288348863,3.9240000000000004,True,AVOIDED,0.5,0.0,0.0,freeze,noise,12960006
baseline_nm0.5,baseline,0,20.0,0.4,30.0,20.0,True,,0.8338899976707488,2.150893966242435,1.5551013235364857,20.0,0.0,3.924000000000003,7.724658966064453,4.50819418496857,1.7694600564205454,3.9240000000000004,True,AVOIDED,0.5,0.0,0.0,freeze,noise,12960007
baseline_nm0.5,baseline,0,20.0,0.4,35.0,20.0,True,,1.66133789685692,2.151382374976974,1.7012787876573134,20.0,0.0,3.924000000000003,7.721855163574219,5.335642084154741,1.6131248288348863,3.9240000000000004,True,AVOIDED,0.5,0.0,0.0,freeze,noise,12960008
baseline_nm0.5,baseline,0,20.0,0.4,40.0,20.0,True,,1.0326799899366392,2.4026492660625896,1.500233763248894,20.0,0.0,3.924000000000003,7.249637603759766,4.70698417723446,1.8281085094307918,3.9240000000000004,True,AVOIDED,0.5,0.0,0.0,freeze,noise,12960009
baseline_nm0.5,baseline,0,30.0,0.85,20.0,20.0,True,,3.9326650882441907,3.501718372541213,1.589240310269733,30.0,0.0,3.335400049701338,9.961448669433594,7.606969275542012,2.203696841912894,8.3385,True,AVOIDED,0.5,0.0,0.0,freeze,noise,12960010
