label,controller,delay_frames,ego_speed_kmh,mu,trigger_d,dart_speed_kmh,avoided,collision_with,s_clearance,a_b_mfdd,t_c_warn,dv_speed_var,collision_speed_kmh,peak_decel,brake_distance,min_dist,a_req_at_brake,a_max,is_conflict,result_txt,noise_sigma_m,noise_sigma_vr,dropout_p,dropout_mode,test_mode,seed,comp_source,comp_L_frames
proposed_enhanced_d4f,proposed_enhanced,4,20.0,0.4,25.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.9545433866387882,15.132966946506263,4.867033053493737,3.924000000000003,0.0,3.8171379793424656,2.8831644300408477,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21420006,oracle,4
proposed_enhanced_d4f,proposed_enhanced,4,20.0,0.4,30.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.954521540650474,15.139666521503544,4.860333478496456,3.924000000000003,0.0,3.817734931323384,2.883286592751476,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21420007,oracle,4
proposed_enhanced_d4f,proposed_enhanced,4,20.0,0.4,35.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.9545433866387882,15.13296178914693,4.867038210853069,3.924000000000003,0.0,3.81713795118745,2.8831644300408477,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21420008,oracle,4
proposed_enhanced_d4f,proposed_enhanced,4,20.0,0.4,40.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.9545222319727912,15.139664972972454,4.860335027027545,3.924000000000003,0.0,3.817738709915874,2.883284501753749,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21420009,oracle,4
proposed_enhanced_d4f,proposed_enhanced,4,30.0,0.85,20.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.3602305025858375,21.465218938447492,8.534781061552506,8.3385,0.0,3.8308564604310202,10.846931890636263,8.3385,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21420010,oracle,4
proposed_enhanced_d4f,proposed_enhanced,4,30.0,0.85,25.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.5787230216695446,21.01777027342445,8.98222972657555,8.3385,0.0,3.8252276990065868,7.136997713203927,8.3385,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21420011,oracle,4
proposed_enhanced_d4f,proposed_enhanced,4,30.0,0.85,30.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.5793209840548225,21.012105045592236,8.987894954407762,8.3385,0.0,3.8255912613053424,7.137048403373015,8.3385,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21420012,oracle,4
proposed_enhanced_d4f,proposed_enhanced,4,30.0,0.85,35.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.5787234808785195,21.017832904752126,8.982167095247872,8.3385,0.0,3.825223834876859,7.13699204290616,8.3385,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21420013,oracle,4
proposed_enhanced_d4f,proposed_enhanced,4,30.0,0.85,40.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.5793214425533617,21.012119163120317,8.98788083687968,8.3385,0.0,3.8255950274148818,7.137042742548217,8.3385,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21420014,oracle,4
proposed_enhanced_d4f,proposed_enhanced,4,30.0,0.4,20.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.2403641210519367,24.20082382590595,5.799176174094051,3.924000000000003,0.0,3.8195146871761136,2.827268919195361,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21420015,oracle,4
